Epoch: [0][1640/5376], lr: 0.00500	Time 0.503 (0.521)	Data 0.000 (0.001)	Loss 4.9946 (5.0931)	Prec@1 12.500 (1.105)	Prec@5 12.500 (5.237)
Epoch: [0][1660/5376], lr: 0.00500	Time 0.482 (0.521)	Data 0.000 (0.001)	Loss 4.9649 (5.0918)	Prec@1 0.000 (1.110)	Prec@5 0.000 (5.257)
Epoch: [0][1680/5376], lr: 0.00500	Time 0.504 (0.521)	Data 0.000 (0.001)	Loss 5.3063 (5.0907)	Prec@1 0.000 (1.112)	Prec@5 6.250 (5.272)
Epoch: [0][1700/5376], lr: 0.00500	Time 0.500 (0.521)	Data 0.000 (0.001)	Loss 5.2527 (5.0902)	Prec@1 0.000 (1.113)	Prec@5 6.250 (5.306)
Epoch: [0][1720/5376], lr: 0.00500	Time 0.525 (0.520)	Data 0.000 (0.001)	Loss 5.0993 (5.0898)	Prec@1 6.250 (1.133)	Prec@5 12.500 (5.317)
Epoch: [0][1740/5376], lr: 0.00500	Time 0.508 (0.520)	Data 0.000 (0.001)	Loss 5.0019 (5.0891)	Prec@1 0.000 (1.142)	Prec@5 6.250 (5.309)
Epoch: [0][1760/5376], lr: 0.00500	Time 0.517 (0.520)	Data 0.000 (0.001)	Loss 5.0706 (5.0882)	Prec@1 0.000 (1.146)	Prec@5 0.000 (5.338)
Epoch: [0][1780/5376], lr: 0.00500	Time 0.505 (0.520)	Data 0.000 (0.001)	Loss 5.0058 (5.0871)	Prec@1 0.000 (1.144)	Prec@5 0.000 (5.348)
Epoch: [0][1800/5376], lr: 0.00500	Time 0.541 (0.520)	Data 0.000 (0.001)	Loss 5.0119 (5.0856)	Prec@1 0.000 (1.149)	Prec@5 6.250 (5.393)
Epoch: [0][1820/5376], lr: 0.00500	Time 0.568 (0.520)	Data 0.000 (0.001)	Loss 4.8722 (5.0850)	Prec@1 0.000 (1.143)	Prec@5 12.500 (5.385)
Epoch: [0][1840/5376], lr: 0.00500	Time 0.570 (0.520)	Data 0.000 (0.001)	Loss 4.9051 (5.0842)	Prec@1 6.250 (1.151)	Prec@5 12.500 (5.425)
Epoch: [0][1860/5376], lr: 0.00500	Time 0.496 (0.520)	Data 0.000 (0.001)	Loss 5.0159 (5.0831)	Prec@1 0.000 (1.145)	Prec@5 0.000 (5.427)
Epoch: [0][1880/5376], lr: 0.00500	Time 0.485 (0.520)	Data 0.000 (0.001)	Loss 5.1343 (5.0825)	Prec@1 0.000 (1.140)	Prec@5 0.000 (5.409)
Epoch: [0][1900/5376], lr: 0.00500	Time 0.500 (0.520)	Data 0.000 (0.001)	Loss 5.2227 (5.0819)	Prec@1 0.000 (1.141)	Prec@5 0.000 (5.418)
Epoch: [0][1920/5376], lr: 0.00500	Time 0.495 (0.520)	Data 0.000 (0.001)	Loss 4.9580 (5.0812)	Prec@1 6.250 (1.148)	Prec@5 12.500 (5.446)
